sentence,label,etiket_turu
Sen bana tam 4 sene ortaklık yaptın.,1,LVC
Bekir amca bana yeni bir masa yaptı.,0,NLVC
Gizem 6 yıl okuduktan sonra doktor oldu.,0,NLVC
Ancak oyuncular bununla mutabık değil.,0,Random
Söylediği ağır sözlerle arkadaşının kalbini kırdı.,1,LVC
Gözenekli bir hasır sepette.,0,Random
Sevdiği kız Karadağ'a gidince yarım kaldığını hissetti.,1,LVC
Mahallemizin amcası hepimize harçlık verdi.,0,NLVC
Bir kayıt tarihi henüz ayarlanmadı.,0,Random
Sabah uyandığında kendini arkadaşının evinde buldu.,0,NLVC
Toplantıda yeni ve ilginç bir fikir öne sürdü.,1,LVC
Fastball vuruşum iyidir.,0,Random
Dün gece arkadaşımın evinde kaldık.,0,NLVC
Borsadaki düşüşle birlikte büyük bir riske girdi.,1,LVC
Birleşmiş Milletler'in Bebek Listeleri gizleme konusunda uzmandır.,0,Random
Onu Kağızman'da görmekten mutlu oluruz.,0,NLVC
Arkadaşlarına içinde tuttuğu dertlerini döktü.,1,LVC
Temiz bir tesisti personel.,0,Random
Evdeki alışveriş işlerine babam bakar.,1,LVC
Kaynak : Fulton Prebon U.S.A Inc.,0,Random
İstemeden de olsa konuşmacının sözünü kesti.,1,LVC
Çocuk karşıdan karşıya geçerken annesinin elini tuttu.,0,NLVC
Yapılan duyuru sonucunda yapay zekâ toplumda ilgi çekti.,1,LVC
Ancak endişeli değil.,0,Random
Kitabın bir sonraki sayfasını merakla çevirdi.,0,NLVC
Annesinin bağırması sonucunda koşa koşa yemek masasına geldi.,0,NLVC
Babaannesinin çocukken kaldığı evi gördü.,0,NLVC
Rakip firma bize karşı savaş açtı.,1,LVC
Koşarken ayağı takıldı ve yere düştü.,0,NLVC
Arkadaşına döndü ve şunları söyledi: ben böyle ilgi görmedim!,1,LVC
"Yogi Berra'nın dediği gibi , yeni baştan bir dejavu durumu.",0,Random
Albümüyle büyük övgüler çekti.,1,LVC
İçeriye girdiğimizi fark eden olmamıştı.,0,NLVC
Yaptığı şaka arkadaşının çok hoşuna gitti.,1,LVC
Anahtarı çevirip sessizce eve girdi.,0,NLVC
Rüzgar esince dış kapıyı sıkıca kapattı.,0,NLVC
Bay Rubendall'a erişilemiyor.,0,Random
Kurumsal yatırımcılar çoğunlukla Salı günü kenar çizgisine yakın durdular.,0,Random
Çocuklar parkta neşeyle top oynadı.,0,NLVC
"Bu konuda Vedat, Emir’den fikir aldı.",1,LVC
Kargocu paketi verip hemen gitti.,0,NLVC
Fiyatlar Zurich'de karışık ve Stockholm'de düşüktü.,0,Random
Anlaşma şartları açıklanmadı.,0,Random
Hayatında ilk defa birine güven duymuştu.,1,LVC
Bana 3.sınıftaki fotoğrafını gösterdi.,0,NLVC
Uzun bir yolculuğun sonunda ulaştığı yerde kendini buldu.,1,LVC
Beklenmedik bir hata meydana geldi.,1,LVC
Minimum birim 100000 dolar.,0,Random
Hocanın isteği üzerine masayı sağa doğru çekti.,0,NLVC
Bayan Waleson New York'ta yaşayan serbest bir yazar.,0,Random
Yeni oran 15 Şubat'ta muaccel olacaktır.,0,Random
Aralarındaki fısıltıları duydum.,0,NLVC
Pencereden dışarıya uzun uzun baktı.,0,NLVC
Çok çalışmasına rağmen patrondan fırça yedi.,1,LVC
"31 Ekim 1989 , Salı.",0,Random
CEO şirketin yeni anlaşmasına tereddüt etmeden imza attı.,1,LVC
"""Eski zamanların bacaksızları"" diye konuşuyor.",0,Random
Ev sahibi kirasını yüzde yüz arttırınca mağdur kaldığını belirtti.,1,LVC
Muhtemelen.,0,Random
Yolda yürürken eski bir arkadaşını gördü.,0,NLVC
Pek tabii.,0,Random
Ekmek bıçağıyla taze ekmeği kesti.,0,NLVC
Markete gidip iki kilo domates aldı.,0,NLVC
Ağır kolileri üçüncü kata kadar sırtında taşıdı.,0,NLVC
Ömer soğuk suya bir anda girdi.,0,NLVC
Projenin gidişatı hakkında yöneticisinden haber aldı.,1,LVC
Bu belge hukuki açıdan büyük önem taşıyor.,1,LVC
Gece yatağa yatıp uyumaya çalışırken bi anda aklına geldi.,1,LVC
Bu başarıda onun disiplini büyük rol oynadı.,1,LVC
Yoksa bu oda müziğinin geleceği midir?,0,Random
Toplantı Türkiye saatinde akşam 9’da olacak.,0,NLVC
Kütüphaneden aldığı kitapları görevliye verdi.,0,NLVC
Tatilde deniz kenarında bir otelde kaldı.,0,NLVC
Hayatında en sevdiği kişiden zarar gördü.,1,LVC
Bir kanalı boylamaktan bahsediyorum.,0,Random
Yatağının altında para buldu.,0,NLVC
Yüzde değişimi yol sonundan itibarendir.,0,Random
"Volkan, Ahmet’e döndü dedi ki sana sonsuza kadar saygı duyacağım.",1,LVC
Yiğit konferanstaki detayları tek tek not tuttu.,1,LVC
Müessese Indianapolis'te bulunacak.,0,Random
4.300 kurumdan bazıları emeklilik fonunun parçasıdır.,0,Random
Bayan Haag Elianti oynuyor.,0,Random
Kol sorunları gelecek yıl onu tekrar küçüklere doğru zorladı.,0,Random
Yanlışlıkla masadaki suyu yere döktü.,0,NLVC
Onun bu saçma davranışlarına maruz kaldı.,1,LVC
İyi bir kontrole sahiptir.,0,Random
Kol saatime bakıyorum.,0,Random
Birbirlerine destek olarak ödevi bitirdiler.,1,LVC
Sabah erkenden okula gitti.,0,NLVC
Yoksa bunun sebebi Bayan Collins'in gitmiş olması mıydı?,0,Random
Ali dede hayata dair tavsiyeler verdi.,1,LVC
Genç girişimci piyasada iyi bir fırsat yakaladı.,1,LVC
SEC'den Bay Lane hararetli bir şekilde bu tahminleri tartıştı.,0,Random
